species,file,site,node,count,px_cm,include,base_x,base_y,tip_x,tip_y
cardinalis,LCARDAC23236-2-3_6_23,LCARDAC23236 (2),6,23,115,,,,,
cardinalis,LCARDAC23236-2-3_7_23,LCARDAC23236 (2),7,23,115,,,,,
cardinalis,LCARDAC23236-2-3_8_23,LCARDAC23236 (2),8,23,115,,,,,
cardinalis,LCARDAC23236-2-3_9_23,LCARDAC23236 (2),9,23,115,,,,,
cardinalis,LCARDAC23236-2-3_10_23,LCARDAC23236 (2),10,23,115,,,,,
cardinalis,LCARDAC23236-2-3_11_23,LCARDAC23236 (2),11,23,115,,,,,
cardinalis,LCARDAC23236-2-3_12_23,LCARDAC23236 (2),12,23,115,,,,,
cardinalis,LCARDAC23236-2-3_13_23,LCARDAC23236 (2),13,23,115,,,,,
cardinalis,LCARDAC23236-2-3_14_23,LCARDAC23236 (2),14,23,115,,,,,
cardinalis,LCARDAC23236-2-3_15_23,LCARDAC23236 (2),15,23,115,,,,,
cardinalis,LCARDAC23236-2-3_16_23,LCARDAC23236 (2),16,23,115,,,,,
cardinalis,LCARDAC23236-2-3_17_23,LCARDAC23236 (2),17,23,115,,,,,
cardinalis,LCARDAC23236-2-3_18_23,LCARDAC23236 (2),18,23,115,,,,,
cardinalis,LCARDAC23236-2-3_19_23,LCARDAC23236 (2),19,23,115,,,,,
cardinalis,LCARDAC23236-2-3_20_23,LCARDAC23236 (2),20,23,115,,,,,
cardinalis,LCARDAC23236-2-3_21_23,LCARDAC23236 (2),21,23,115,,,,,
cardinalis,LCARDAC23236-2-3_22_23,LCARDAC23236 (2),22,23,115,,,,,
cardinalis,LCARDAC23236-2-3_23_23,LCARDAC23236 (2),23,23,115,,,,,
cardinalis,LCARDAC23236-2-4_1_31,LCARDAC23236 (2),1,31,117,,,,,
cardinalis,LCARDAC23236-2-4_2_31,LCARDAC23236 (2),2,31,117,,,,,
cardinalis,LCARDAC23236-2-4_3_31,LCARDAC23236 (2),3,31,117,,,,,
cardinalis,LCARDAC23236-2-4_4_31,LCARDAC23236 (2),4,31,117,,,,,
cardinalis,LCARDAC23236-2-4_5_31,LCARDAC23236 (2),5,31,117,,,,,
cardinalis,LCARDAC23236-2-4_6_31,LCARDAC23236 (2),6,31,117,,,,,
cardinalis,LCARDAC23236-2-4_7_31,LCARDAC23236 (2),7,31,117,,,,,
cardinalis,LCARDAC23236-2-4_8_31,LCARDAC23236 (2),8,31,117,,,,,
cardinalis,LCARDAC23236-2-4_9_31,LCARDAC23236 (2),9,31,117,,,,,
cardinalis,LCARDAC23236-2-4_10_31,LCARDAC23236 (2),10,31,117,,,,,
cardinalis,LCARDAC23236-2-4_11_31,LCARDAC23236 (2),11,31,117,,,,,
cardinalis,LCARDAC23236-2-4_12_31,LCARDAC23236 (2),12,31,117,,,,,
cardinalis,LCARDAC23236-2-4_13_31,LCARDAC23236 (2),13,31,117,,,,,
cardinalis,LCARDAC23236-2-4_14_31,LCARDAC23236 (2),14,31,117,,,,,
cardinalis,LCARDAC23236-2-4_15_31,LCARDAC23236 (2),15,31,117,,,,,
cardinalis,LCARDAC23236-2-4_16_31,LCARDAC23236 (2),16,31,117,,,,,
cardinalis,LCARDAC23236-2-4_17_31,LCARDAC23236 (2),17,31,117,,,,,
cardinalis,LCARDAC23236-2-4_18_31,LCARDAC23236 (2),18,31,117,,,,,
cardinalis,LCARDAC23236-2-4_19_31,LCARDAC23236 (2),19,31,117,,,,,
cardinalis,LCARDAC23236-2-4_20_31,LCARDAC23236 (2),20,31,117,,,,,
cardinalis,LCARDAC23236-2-4_21_31,LCARDAC23236 (2),21,31,117,,,,,
cardinalis,LCARDAC23236-2-4_22_31,LCARDAC23236 (2),22,31,117,,,,,
cardinalis,LCARDAC23236-2-4_23_31,LCARDAC23236 (2),23,31,117,,,,,
cardinalis,LCARDAC23236-2-4_24_31,LCARDAC23236 (2),24,31,117,,,,,
cardinalis,LCARDAC23236-2-4_25_31,LCARDAC23236 (2),25,31,117,,,,,
